ham,"Ve hasta el punto Jurong, loco... Disponible solo en Bugis y Great World, el buffet... Cine ahí tiene Amore, ¿verdad?",,,,,,,,,,,,,,
ham,"Ok, solo bromeaba contigo.",,,,,,,,,,,,,,
spam,"Entrada gratuita en un concurso semanal para ganar boletos para la final de la FA Cup el 21 de mayo de 2005. Envía un mensaje con FA al 87121 para recibir la pregunta de entrada (tarifa estándar de texto). Aplican Términos y Condiciones, 08452810075 mayores de 18.",,,,,,,,,,,,,,
ham,No digas tan temprano... Mejor espera a ver y luego lo dices.,,,,,,,,,,,,,,
ham,"Nah, no creo que vaya a USF, vive cerca de aquí, sin embargo.",,,,,,,,,,,,,,
spam,"Mensaje gratuito. Hola cariño, han pasado 3 semanas y sin respuesta de ti. ¡Quiero algo de diversión! ¿Aún estás interesado? Tb ok. Besos, cuesta £1.50 recibir.",,,,,,,,,,,,,,
ham,Incluso mi hermano no quiere hablar conmigo. Me tratan como a un paciente de SIDA.,,,,,,,,,,,,,,
ham,"*Según tu solicitud, ""Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" ha sido configurado como tu tono de llamada para todos los que te llamen. Presiona 9 para copiar el tono de tus amigos.",,,,,,,,,,,,,,
spam,"¡GANADOR! Como cliente valioso de la red, has sido seleccionado para recibir una recompensa de £900. Para reclamar, llama al 09061701461. Código de reclamo KL341. Válido solo 12 horas.",,,,,,,,,,,,,,
spam,¿Tienes tu móvil por 11 meses o más? Tienes derecho a actualizarte al último móvil con cámara gratis. Llama a la Compañía de Actualización Móvil GRATIS al 08002986030.,,,,,,,,,,,,,,
ham,"Voy a estar en casa pronto y no quiero hablar más de este asunto esta noche, ¿ok? Ya he llorado suficiente hoy.",,,,,,,,,,,,,,
spam,"¡SEIS oportunidades para ganar DINERO! Desde 100 hasta 20,000 libras, envía CSH11 al 87575. Costo 150p/día, 6 días, mayores de 16. Aplican Términos y Condiciones. Responde HL para más información.",,,,,,,,,,,,,,
spam,"¡URGENTE! Has ganado una membresía GRATUITA de 1 semana en nuestro premio de £100,000. Envía la palabra CLAIM al número 81010. Términos y condiciones www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18.",,,,,,,,,,,,,,
ham,He estado buscando las palabras adecuadas para agradecerte por esta pausa. Prometo no aprovecharme de tu ayuda y cumplir mi promesa. Has sido maravilloso y una bendición en todo momento.,,,,,,,,,,,,,,
ham,¡TENGO UNA CITA EL DOMINGO CON WILL!,,,,,,,,,,,,,,
spam,"XXXMobileMovieClub: Para usar tu crédito, haz clic en el enlace WAP en el próximo mensaje de texto o haz clic aquí >> [URL]",,,,,,,,,,,,,,
ham,"Oh, estoy viendo aquí :)",,,,,,,,,,,,,,
ham,"¿Recuerdas cómo se escribe su nombre? Sí, lo recuerdo. Es muy travieso, me hizo mojarme mucho.",,,,,,,,,,,,,,
ham,Está bien si así te sientes. Así tiene que ser.,,,,,,,,,,,,,,
spam,"Inglaterra vs Macedonia - no te pierdas los goles/noticias del equipo. Envía el nombre de tu equipo nacional al 87077, por ejemplo, ENGLAND al 87077. Prueba: WALES, SCOTLAND. Costo £1.20.",,,,,,,,,,,,,,
ham,¿En serio así se escribe su nombre?,,,,,,,,,,,,,,
ham,"Voy a intentarlo por 2 meses, ja ja, solo bromeaba.",,,,,,,,,,,,,,
ham,Primero pagas tú... ¿Entonces cuándo llega el stock?,,,,,,,,,,,,,,
ham,"Después de que termine de almorzar, iré directamente hacia allá, alrededor de las 3. ¿Ya terminaste tu almuerzo?",,,,,,,,,,,,,,
ham,"Ffffffff. Bueno, ¿no hay forma de que nos veamos antes?",,,,,,,,,,,,,,
ham,Me obligué a comer una rebanada. En serio no tengo hambre. Esto apesta. Mark está preocupado. Sabe que estoy enfermo cuando rechazo la pizza. Ja ja.,,,,,,,,,,,,,,
ham,Siempre eres tan convincente.,,,,,,,,,,,,,,
ham,¿Tomaste el autobús? ¿Estás friendo un huevo? ¿Hiciste té? ¿Estás comiendo las sobras de la cena de tu mamá? ¿Sientes mi amor?,,,,,,,,,,,,,,
ham,"He vuelto y estamos empacando el coche ahora, te avisaré si hay espacio.",,,,,,,,,,,,,,
ham,"Ahhh, trabajo. Vaguely recuerdo eso. ¿Qué se siente? Ja ja.",,,,,,,,,,,,,,
ham,"Espera, eso aún no está claro. ¿No estabas seguro de si estaba siendo sarcástico o de que esa es la razón por la que x no quiere vivir con nosotros?",,,,,,,,,,,,,,
ham,"Sí, llegó a las 2 y fue muy apologético. Había discutido y ella estaba actuando como una niña mimada, y él se involucró en eso. Hasta las 2. Pero no vamos a hablar de eso. No está tan mal. ¿Y tú?",,,,,,,,,,,,,,
ham,K dime algo sobre ti.,,,,,,,,,,,,,,
ham,"¿Por miedo a desmayarte con toda esa limpieza que acabas de hacer? Rápido, toma una taza de té.",,,,,,,,,,,,,,
spam,"Gracias por tu suscripción a Ringtone UK. Tu móvil se cargará £5/mes. Confirma respondiendo SÍ o NO. Si respondes NO, no se te cobrará.",,,,,,,,,,,,,,
ham,"Sí... Ok, voy a casa, miro los horarios y te envío un mensaje de nuevo. Xuhui va a aprender el 2 de mayo también, pero su lección es a las 8 am.",,,,,,,,,,,,,,
ham,"Ups, te avisaré cuando mi compañero de cuarto haya terminado.",,,,,,,,,,,,,,
ham,Veo la letra B en mi auto.,,,,,,,,,,,,,,
ham,Cualquier cosa... Tú decides...,,,,,,,,,,,,,,
ham,¡Hola! ¿Cómo estás y cómo te fue el sábado? Solo estaba enviando un mensaje para ver si decidiste hacer algo mañana. No es que esté tratando de invitarme ni nada.,,,,,,,,,,,,,,
ham,"Por favor, continúa con watts. Solo quería estar seguro. Que tengas un gran fin de semana. Abiola.",,,,,,,,,,,,,,
ham,"¿Olvidé decirte? Te quiero, te necesito, te anhelo... Pero más que nada... Te amo, mi dulce corcel árabe... Mmmmmm... Delicioso.",,,,,,,,,,,,,,
spam,07732584351 - Rodger Burns - MSG = Intentamos llamarte en respuesta a tu mensaje para un móvil Nokia gratis + camcorder gratis. Llama ahora al 08000930705 para entrega mañana.,,,,,,,,,,,,,,
ham,¿A QUIÉN ESTÁS VIENDO?,,,,,,,,,,,,,,
ham,¡Genial! Espero que te guste tu hombre bien dotado. Mido <#> pulgadas...,,,,,,,,,,,,,,
ham,Sin llamadas... mensajes... llamadas perdidas.,,,,,,,,,,,,,,
ham,¿No te dieron la vacuna contra la hepatitis B en Nigeria?,,,,,,,,,,,,,,
ham,"Está bien, ¿algo que esté pasando?",,,,,,,,,,,,,,
ham,"Sí, ojalá, si Tyler no puede hacerlo, podría preguntar por ahí un poco.",,,,,,,,,,,,,,
ham,No sabes lo terca que soy. Ni siquiera quería ir al hospital. Le decía a Mark que no soy una debilucha. Los hospitales son para debiluchos.,,,,,,,,,,,,,,
ham,¿Qué pensaste de mí? La primera vez que me viste en clase.,,,,,,,,,,,,,,
ham,"Un gramo suele costar <#>, un medio octavo es más inteligente y casi obtienes un gramo completo por <#>",,,,,,,,,,,,,,
ham,"K fyi x tiene que ir temprano mañana, pero está durmiendo en nuestro lugar esta noche.",,,,,,,,,,,,,,
ham,"Wow. Nunca me di cuenta de que estabas tan avergonzado por tu alojamiento. Pensé que te gustaba, ya que hacía lo mejor que podía y siempre parecías feliz con ""la cueva"". Lamento no tener más que ofrecer. Lamento haberlo ofrecido. Lamento que tu habitación fuera tan vergonzosa.",,,,,,,,,,,,,,
spam,SMS. ac Sptv: Los New Jersey Devils y los Detroit Red Wings juegan hockey sobre hielo. ¿Correcto o incorrecto? Fin? Responde FIN SPTV,,,,,,,,,,,,,,
ham,¿Sabes lo que hizo Mallika Sherawat ayer? Descúbrelo ahora @ [URL],,,,,,,,,,,,,,
spam,"¡Felicidades! Un pase de cine especial de 1 año para 2 es tuyo. Llama al 09061209465 ahora. C Suprman V, Matrix3, StarWars3, etc., todo GRATIS. bx420-ip4-5we. £1.50 por mensaje. ¡No te lo pierdas!",,,,,,,,,,,,,,
ham,"Lo siento, llamaré más tarde en la reunión.",,,,,,,,,,,,,,
ham,Dime a dónde has llegado.,,,,,,,,,,,,,,
ham,Sí... gauti y sehwag fuera de la serie ODI.,,,,,,,,,,,,,,
ham,Tendrás que comprar una hamburguesa de $1 para ti en tu camino a casa. Ni siquiera puedo moverme. El dolor me está matando.,,,,,,,,,,,,,,
ham,"Ja ja ja, buena broma. Las chicas son buscadoras de situaciones.",,,,,,,,,,,,,,
ham,Es parte de la verificación de IQ.,,,,,,,,,,,,,,
ham,"**Lo siento, mis compañeros de cuarto se tardaron mucho",,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
spam,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
spam,,,,,,,,,,,,,,,
spam,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
spam,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
spam,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,
ham,,,,,,,,,,,,,,,c
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
